StoreId,Name,Address,City,Latitude,Longitude
1340,שדרות,קנין פנינת הנגב א.ת דרומי,שדרות,31.52269399999999,34.595581
1368,מגה  אריאל א,הנחשונים 37 מ.מסחרי,אריאל,32.1056189,35.1726765
1430,סיטי קניון קיראון,שלמה המלך,קריית אונו,32.0541195,34.8592106
2040,מגה  כרמליה חיפה,אלכסנדר ינאי 3  חיפה,חיפה,32.7965997,34.9780267
2070,סיטי כפר יונה דרום,40 מנחם בגין,כפר-יונה,32.3117945,34.9367876
2150,קרפור מרקט אילת,חטיבת גולני 43,אילת,29.5657337,34.9557374
2180,מגה  אבן יהודה,הדרים פינת המיסדים,אבן-יהודה,32.2692222,34.8905945
2190,מגה  גני העיר רחובות,15 דרך ירושלים,רחובות,31.8902772,34.8303175
2230,מרקט גני אביב לוד,ארבע עונות 14,לוד,31.958886,34.8803568
2240,מרקט בית וגן ק.אתא,10 העצמאות,קרית-אתא,32.7996981,35.1030004
2310,מרקט גן יבנה,הרצל פ.קיבוץ גלויות,גן יבנה,31.7901651,34.7120623
2320,סיטי קניון גבעתיים,ויצמן פינת יצחק רבין,גבעתיים,32.06656,34.808523
2330,"סיטי אשדוד י""ב",תמוז 14 מרכז מסחרי,אשדוד,31.7814535,34.6380512
2410,מרקט עיר ימים נתניה,שדרות בן גוריון,נתניה,32.2981756,34.8444542
2470,ש. נאות חן חדרה,הלל יפה 5 פינת סמילנסקי,חדרה,32.4339439,34.9158956
2490,מגה  כפר שלם,10 סנפיר,תל-אביב,32.0532766,34.8099994
2518,מגה  פארק הירקון,1 שלום אש,תל-אביב,32.1083484,34.8198305
2530,מגה  בת גלים,37 העליה השניה,חיפה,32.8319311,34.9795913
2540,מרקט מודעין שמשוני,עמק בית שאן פינת יחזקאל הנביא,מודיעין,31.9118465,35.0023469
2577,מגה  לב נתניה,32 הרב קוק,נתניה,32.3330263,34.8544896
2730,מגדל העמק,ניצנים 39,מגדל העמק,32.6823717,35.2373076
2740,מרקט שרונה רחובות,מדר פינת דרך ירושלים,רחובות,31.8888698,34.8255839
2840,מרקט אשדוד ח,הרב לוין מ.מסחרי,אשדוד,31.7005427,34.5769776
2960,סיטי זכרון יעקב,.10 חברה חשבונאית,זכרון יעקב,32.5739532,34.9520929
2976,סיטי צפון באר שבע,101 אברהם אבינו,באר-שבע,31.2700224,34.7972186
3020,מגה  בית אליעזר,חדרה,חדרה,32.4340458,34.9196518
3050,מגה  קניון כפר יונה,6 שרת,כפר-יונה,32.3181854,34.9342402
3174,סיטי גבעת שמואל,האורנים 1 מ.מסחרי,גבעת-שמואל,32.0679279,34.8454881
3180,מגה  רמות צהלה,4-6 גרפית,תל-אביב,32.0852999,34.78176759999999
3210,מגה  לב אשקלון,שכונת שמשון,אשקלון,31.656028,34.56249
3280,סיטי אלוני  השרון,תום לנטוס 26 ק.השרון,נתניה,32.3036425,34.8696287
3300,מגה  שכונה ו באר שבע,קנ.אביה שד.שאול המלך,באר-שבע,31.2621396,34.776395
3420,מגה  אלנבי ירושלים,"בית""ר פינת ינובסקי",ירושלים,31.7557536,35.224801
3440,סיטי מזכרת בתיה,8 שדרות אליהו,מזכרת בתיה,31.8546322,34.842004
3506,סיטי גבעת סביון,78 הגליל,גני-תקוה,32.056953,34.8688528
3580,סיטי רמות אלון חיפה,29 יגאל אלון,חיפה,32.7732794,35.0130904
3600,מגה בעיר- שטמפפר,"שטמפפר 73, פינת אבניאל פ""ת",פתח תקוה,32.0939039,34.8903066
3700,"מרקט נווה זאב ב""ש",64 יוהנה זבוטינסקי,באר-שבע,31.236477,34.7708986
3740,מרקט אפרידר אשקלון,5 שדרות ירושלים,אשקלון,31.6778055,34.5753127
3850,"סיטי בית הכרם י""ם",אבי זהר,ירושלים,31.768319,35.21371
3990,"סיטי תל ברוך ת""א",8 בקר,תל-אביב,32.1227542,34.8163927
4120,מגה  הדר הרצליה,2 הדר,הרצליה,32.1675895,34.8492667
4130,סיטי נווה אמירים,82 בן גוריון,הרצליה,32.1545039,34.8421088
4150,סיטי הרצליה פיתוח,34 זהר טל,הרצליה,32.1708537,34.8028265
4160,סיטי נוף ים הרצליה,10 שער הים,הרצליה,32.1879828,34.8128297
4170,מגה  נוה עמל,19 כצנלסון,הרצליה,32.1687845,34.8565335
4200,סיטי זרובבל ר.השרון,33 סוקולוב,רמת-השרון,32.1418503,34.8366271
4220,סיטי נס ציונה,1 אבנר בן נר,נס ציונה,31.9222716,34.8104189
4280,מרקט אודיטוריום חיפה,134 שדרות הנשיא,חיפה,32.8031725,34.9857268
4420,מגה  אואזיס רמת גן,87 הרצל,רמת-גן,32.087845,34.814528
4640,מגה  מגדלי כרמל חיפה,20 חנה סנש,חיפה,32.8012011,34.9964755
5303,קרפור אונליין,זרחין 12 רעננה,רעננה,32.195765,34.8837808
